# iata code; latitude; longitude; airport name
AAA;-17.3542;-145.4961;Anaa Airport;PF
AAC;31.0733;33.8358;El Arish International Airport;EG
AAE;36.8222;7.8094;Annaba Airport;DZ
AAF;29.7275;-85.0274;Apalachicola Regional Airport;US
AAG;-24.1036;-49.7900;Arapoti Airport;BR
AAL;57.0928;9.8492;Aalborg Airport;DK
AAM;-24.8181;31.5446;Malamala Airport;ZA
AAN;24.2617;55.6092;Al Ain International Airport;AE
AAQ;45.0017;37.3483;Anapa Vityazevo Airport;RU
AAR;56.3000;10.6190;Aarhus Airport;DK
AAT;47.7200;88.1500;Altay Air Base;CN
AAX;-19.5603;-46.9653;Romeu Zema Airport;BR
AAY;16.1917;52.1750;Al Ghaidah International Airport;YE
ABA;53.7417;91.3850;Abakan Airport;RU
ABB;6.1978;6.7285;Asaba International Airport;NG
ABC;38.9480;-1.8630;Albacete-Los Llanos Airport;ES
ABD;30.3667;48.2333;Abadan Airport;IR
ABE;40.6521;-75.4408;Lehigh Valley International Airport;US
ABH;-23.6583;146.5917;Alpha Airport;AU
ABI;32.4113;-99.6819;Abilene Regional Airport;US
ABJ;5.2544;-3.9286;Port Bouet Airport;CI
ABK;6.7340;44.2530;Kabri Dehar Airport;ET
ABL;67.1063;-157.8575;Ambler Airport;US
ABM;-10.9500;142.4600;Northern Peninsula Airport;AU
ABQ;35.0402;-106.6092;Albuquerque International Sunport Airport;US
ABR;45.4490;-98.4218;Aberdeen Regional Airport;US
ABS;22.3758;31.6117;Abu Simbel Airport;EG
ABT;20.2961;41.6342;Al Baha Airport;SA
ABV;9.0069;7.2631;Nnamdi Azikiwe International Airport;NG
ABX;-36.0689;146.9564;Albury Airport;AU
ABY;31.5369;-84.1945;Southwest Georgia Regional Airport;US
ABZ;57.2019;-2.1978;Aberdeen Dyce Airport;GB
ACA;16.7571;-99.7538;General Juan N Alvarez International Airport;MX
ACC;5.5964;-0.1700;Kotoka International Airport;GH
ACE;28.9455;-13.6052;Lanzarote Airport;ES
ACH;47.4850;9.5619;St Gallen Altenrhein Airport;CH
ACI;49.7061;-2.2147;Alderney Airport;GG
ACK;41.2531;-70.0602;Nantucket Memorial Airport;US
ACP;37.7333;46.4500;Sahand Airport;IR
ACR;0.6007;-72.3980;Araracuara Airport;CO
ACT;31.6113;-97.2305;Waco Regional Airport;US
ACU;9.1830;-78.0170;Achutupo Airport;PA
ACV;40.9781;-124.1086;Arcata Airport;US
ACX;25.0500;104.9833;Xingyi Airport;CN
ACY;39.4576;-74.5772;Atlantic City International Airport;US
ACZ;31.0983;61.5439;Zabol Airport;IR
