# equipment id;description;capacity
100;Fokker 100;100
141;British Aerospace BAe 146-100;100
142;British Aerospace BAe 146-200;112
143;British Aerospace BAe 146-300;134
146;British Aerospace BAe 146;100
14F;British Aerospace BAe 146 Freighter;159
14X;British Aerospace BAe 146-100QT/QC;100
14Y;British Aerospace BAe 146-200QT/QC;112
14Z;British Aerospace BAe 146-300QT/QC;134
310;Airbus Industrie A310;169
312;Airbus Industrie A310-200;220
313;Airbus Industrie A310-300;247
318;Airbus Industrie A318;107
319;Airbus Industrie A319;124
31F;Airbus Industrie A310 Freighter;130
31X;Airbus Industrie A310-200 Freighter;130
31Y;Airbus Industrie A310-300 Freighter;140
320;Airbus Industrie A320;150
321;Airbus Industrie A321;185
32A;Airbus Industrie A320-200 (Sharklets);150
32B;Airbus Industrie A321-200 (Sharklets);199
32S;Airbus Industrie A318/319/320/321;130
330;Airbus Industrie A330;253
332;Airbus Industrie A330-200;293
333;Airbus Industrie A330-300;335
340;Airbus Industrie A340;300
342;Airbus Industrie A340-200;300
343;Airbus Industrie A340-300;335
345;Airbus Industrie A340-500;359
346;Airbus Industrie A340-600;419
380;Airbus Industrie A380;644
388;Airbus Industrie A380-800;644
38F;Airbus Industrie A380 Freighter;840
703;Boeing 707-300;179
707;Boeing 707/720;219
70F;Boeing 707-300 Freighter;300
70M;Boeing 707-300 Combi;300
717;Boeing 717-200;117
721;Boeing 727-100;189
722;Boeing 727-200;189
727;Boeing 727;189
72A;Boeing 727-200 Advanced;189
72B;Boeing 727-100 Combi;189
72C;Boeing 727-200 Combi;189
72F;Boeing 727 Freighter;200
72M;Boeing 727 Combi;200
72S;Boeing 727-200;189
72X;Boeing 727-100 Freighter;189
72Y;Boeing 727-200 Freighter;189
731;Boeing 737-100;99
732;Boeing 737-200;95
733;Boeing 737-300;140
734;Boeing 737-400;159
735;Boeing 737-500;122
736;Boeing 737-600;110
737;Boeing 737;140
738;Boeing 737-800;162
739;Boeing 737-900;177
73A;Boeing 737-200/200C Advanced;130
73C;Boeing 737-300;140
73E;Boeing 737-900ER;177
73F;Boeing 737 Freighter;200
73G;Boeing 737-700;126
73H;Boeing 737-800 With Winglets;162
73J;Boeing 737-900 With Winglets;177
73N;Boeing 737-300 Mixed Config;140
73M;Boeing 737-200 Combi;95
73P;Boeing 737-400 Freighter;170
73Q;Boeing 737-400 Mixed Config;159
73R;Boeing 737-700 Combi;126
73S;Boeing 737 Advanced;140
73W;Boeing 737-700 With Winglets;126
73X;Boeing 737-200 Freighter;120
73Y;Boeing 737-300 Freighter;150
741;Boeing 747-100;330
742;Boeing 747-200;330
743;Boeing 747-300 (including -100SUD and -200SUD);420
744;Boeing 747-400;416
747;Boeing 747;416
74C;Boeing 747-200 Combi;505
74D;Boeing 747-300 Combi (including -200SUD);422
